Death ,Slayer,Death..banda.,Sepultura,Therion,Cannibal.Corpse,Cradle.Of.Filth,Morbid.Angel,Bloodbath,Vader,Overkill,Orphaned.Land,Deicide,Obituary,Fear.Factory,Saturnus,Bolt.Thrower,Tiamat,Celtic.Frost,Kataklysm,Strapping.Young.Lad,Immolation,Entombed,Warbringer,Havok,Evile,Six.Feet.Under,Old.Man.s.Child,Triptykon,Gorguts,Dismember,Pestilence,Cavalera.Conspiracy,Vital.Remains,Tankard,Revocation,Artillery,Autopsy,Possessed,Sigh,Crematory,Malevolent.Creation,Asphyx,Job.For.A.Cowboy,Grave,Nuclear.Assault,Evoken,In.Vain,Absu,Charon,Vomitory,Onslaught,Legion.Of.The.Damned,Flotsam.And.Jetsam,Hate,God.Dethroned,Suicidal.Angels,Sadus,Heavenwood,Incantation,Gama.Bomb,Aeon,Ouroboros,Benediction,Blood.Red.Throne,Gwar,Sacred.Reich,Tribulation,Gorefest,Sinister,The.Crown,Violator,Necrophobic,Monstrosity,Razor,Hail.Of.Bullets,Vio.lence,Angelus.Apatrida,Lazarus.A.D.,Prong,Morbid.Saint,Terrorizer,Witchery,Darkane,Demolition.Hammer,Agent.Steel,Brujeria,Fields.Of.The.Nephilim,Bonded.By.Blood,Divine.Heresy,Nervecell,Exumer,Hirax,Abysmal.Dawn,Vallenfyre,Sarc.fago,Whiplash,Morgoth,Paradox,Exhorder,Hatesphere,Illdisposed,Dew.Scented,Jungle.Rot,Savage.Messiah,Massacre,The.Monolith.Deathcult,Swashbuckle,Cannabis.Corpse,Xentrix,Exciter,Lich.King,D..th,Holy.Moses,Rigor.Mortis,Severe.Torture,Debauchery,Kronos,Dragged.Into.Sunlight,Hexen,Torture.Killer,Acrassicauda,Dead.Congregation,Demonical,Arsames,Mortal.Sin,The.Berzerker,Cancer,Entrails,Noctem,Tourniquet,Lock.Up,Miseration,Sulphur.Aeon,Macabre,Entombed.A.D.,Impaled,Ataraxie,Deceased,Horrendous,Lost.Society,Master,Atrocity,Charred.Walls.Of.The.Damned,Demonic.Resurrection,Evocation,Fleshcrawl,Necrophagia,Trepalium,Inborn.Suffering,Mokoma,Assassin,Brutality,Demigod,Rudra,Dismal.Euphony,Striker,Demonoid,Grip.Inc.,Pungent.Stench,Torchbearer,Agruss,Broken.Hope,Crisix,Fueled.By.Fire,Mortification,Nader.Sadek,Protector,Korzus,Atrophy,Dawn.Of.Demise,Torture.Squad,Morgion,Slaughter,Coffins,Cryptic.Wintermoon,Ghoul,Amoral,Desultory,Panzerchrist,The.Chasm,Criminal,Extreme.Noise.Terror,Herm.tica,Merciless,Netherion,Trauma,Zimmers.Hole,Dies.Irae,Nervosa,Obliteration,Arakain,Bulldozer,Deathchain,Desolate.Shrine,Holy.Terror,Sacrifice,Death.Breath,Izegrim,Stone,Carnal.Forge,Cemetary,Diamond.Plate,Disincarnate,Grave.Miasma,Hatriot,Hunter,Living.Sacrifice,One.Man.Army.And.The.Undead.Quartet,Ade,Cripper,Defiance,Demonica,Helltrain,Mantic.Ritual,Massacra,Runemagick,Thanatos,The.Rotted,Yyrkoon,Black.Fast,Liege.Lord,Loudblast,Nirvana.2002,Repugnant,Chthe.ilist,Cruciamentum,Divinity,Gruesome,The.Wretched.End,Advent.Sorrow,Ancient.Ascendant,Centinex,Convulse,Hackneyed,Landmine.Marathon,Ripping.Corpse,Blood.Tsunami,Narjahanam,Usurper,Battlesoul,Deathhammer,George.Kollias,Infern.l.M.jesty,Mortad,Red.Harvest,Resurrection
Heavy metal,Iron.Maiden,Metallica,Megadeth,Black.Sabbath,Judas.Priest,Pantera,Iced.Earth,Led.Zeppelin,Nevermore,Stratovarius,Dio,Anthrax,AC.DC,Mot.rhead,Manowar,Ozzy.Osbourne,Deep.Purple,King.Diamond,Alice.In.Chains,Accept,Annihilator,Ghost,Mercyful.Fate,Scorpions,Rainbow,Guns.N..Roses,Venom,Avenged.Sevenfold,W.A.S.P.,Black.Label.Society,Saxon,Firewind,Queensr.che,Alice.Cooper,KISS,Down,Grave.Digger,Running.Wild,Bruce.Dickinson,Demons.And.Wizards,Rage,Metal.Church,Danzig,Volbeat,Van.Halen,Joe.Satriani,Dream.Evil,Whitesnake,Mercenary,Skid.Row,X3.Inches.Of.Blood,Catamenia,Def.Leppard,Clutch,Heaven.And.Hell,Lordi,Alter.Bridge,Twisted.Sister,Axel.Rudi.Pell,Jorn,Thin.Lizzy,Airbourne,Grand.Magus,Uriah.Heep,Halford,Diamond.Head,Sinergy,I,Doro,Virgin.Steele,Anvil,Spiritual.Beggars,U.D.O.,Europe,Unisonic,Blue..yster.Cult,Dokken,M.go.De.Oz,Battle.Beast,Metsat.ll,Die.Apokalyptischen.Reiter,Persuader,Graveyard,Steel.Panther,Angel.Witch,Enforcer,Hell,Axxis,Riot.V,Gotthard,Thunderstone,Allen.Lande,Ratt,Rata.Blanca,UFO,At.Vance,Holy.Grail,Mezarkabul,Slash,Almah,Ark,Grim.Reaper,Iron.Fire,In.Solitude,Armored.Saint,Aria,Hibria,Manilla.Road,Bloodbound,Blaze.Bayley,Halestorm,Warlock,Rebellion,Astral.Doors,Civil.War,Freak.Kitchen,Pretty.Maids,Satan,The.Cult,Tierra.Santa,Black.Tide,Gary.Moore,Newsted,Royal.Thunder,Adrenaline.Mob,Loudness,Racer.X,Slough.Feg,White.Wizzard,Avalanch,Stryper,Forever.Storm,Raven,Revolution.Renaissance,Witchfinder.General,Saratoga,Tesla,Twilightning,Wolf,Impellitteri,The.Devil.s.Blood,Kingcrow,Quiet.Riot,Wolfmother,Unleash.The.Archers,Chrome.Division,Tank,Majesty,Skull.Fist,Warlord,Pink.Cream.69,Kat,SOiL,Saint.Deamon,Huntress,Warrant,Budgie,Cauldron,Cirith.Ungol,Crystal.Viper,Girlschool,Lita.Ford,Omen,Steel.Attack,Nightmare,Steelwing,Ashes.Of.Ares,Tygers.Of.Pan.Tang,Heavens.Gate,Nanowar.Of.Steel,Sinner,Crucified.Barbara,Lizzy.Borden,Almafuerte,Christian.Mistress,Onmyo.Za,Pharaoh,Kobra.And.The.Lotus,Winger,Armageddon,Atlantean.Kodex,Beautiful.Sin,Immortal.Souls,Sister.Sin,Cage,Elf,Fozzy,Lord,Shakra,Beyond.Fear,Blitzkrieg,Christopher.Lee,Fall.Of.The.Leafe,Michael.Schenker.s.Temple.Of.Rock,Mustasch,Tremonti,Bar.n.Rojo,Benedictum,Black.Country.Communion,Demon,Forsaken,Tokyo.Blade,Votum,Darkest.Era,Iommi,Kipelov,Ramp,Stormwitch,The.Hourglass,Alabama.Thunderpussy,Argus,Michael.Kiske,Turbo,Vinnie.Moore,Act.Of.Defiance,Dreamland,November.7,Pokolg.p,Steve.Harris,Arrayan.Path,Battleroar,Bullet,Dawnbringer,Dezperadoz,Machine.Men,Eden.s.Curse,Farshid.Arabi,Holocaust,Lonewolf,Priestess,,,,,,,,,,,,,,,,
Black Metal,Behemoth,Dimmu.Borgir,Immortal,Moonspell,Emperor,Burzum,Mayhem,Rotting.Christ,Satyricon,Darkthrone,Alcest,Primordial,Marduk,Ulver,Gorgoroth,Dark.Funeral,Anaal.Nathrakh,Watain,Samael,Belphegor,Falkenbach,Taake,Deathspell.Omega,Carpathian.Forest,Negur..Bunget,Vintersorg,X1349,Dark.Fortress,Keep.Of.Kalessin,Les.Discrets,M.negarm,Akercocke,Inquisition,Kauan,Limbonic.Art,Mg.a,Vreid,Nachtmystium,Nargaroth,In.The.Woods...,Zyklon,Amesoeurs,Kampfar,Forefather,The.Ruins.Of.Beverast,Impaled.Nazarene,Abbath,Tsjuder,Forgotten.Tomb,Beherit,Lord.Belial,Skyforger,Altar.Of.Plagues,Aura.Noir,Silencer,Enthroned,Behexen,Ragnarok,Abigor,Cobalt,Gehenna,Nortt,Urgehal,Ajattara,Mistur,Opera.IX,Bethlehem,Astarte,Cor.Scorpii,Cult.Of.Fire,Secrets.Of.The.Moon,Arckanum,Batushka,Myrkgrav,Sear.Bliss,Horna,God.Seed,Urfaust,Kroda,B.lzer,D.dheimsgard,Funeral.Mist,Isengard,Mithotyn,Sargeist,Krallice,Lunar.Aurora,Der.Weg.Einer.Freiheit,Judas.Iscariot,Myrkur,Nifelheim,Schammasch,Wyrd,Dolorian,Glorior.Belli,Todtgelichter,Nagelfar,Ov.Hell,Imperium.Dekadenz,Ved.Buens.Ende,Harakiri.For.The.Sky,Archgoat,Antestor,Infestus,Sacramentum,Helrunar,Ikuinen.Kaamos,Nocte.Obducta,Setherial,Skogen,Craft,Azaghal,Ondskapt,Morgul,Varathron,Adorned.Brood,Khors,Khold,Tombs,Antaeus,Aosoth,Loits,Manes,Mis.yrming,Devian,Dreadnought,Endstille,Root,Teitanblood,Abruptum,Carpe.Noctem,Code,Faal,Katharsis,Valkyrja,Autumnblaze,Barathrum,Ekove.Efrits,Negator,Nightbringer,Odious,Weakling,Crionics,Kekal,Slechtvalk,Svart.Crown,Al.Namrood,Drowning.The.Light,Hades.Almighty,Manslaughter,Salem,Satariel,Gallhammer,Eulen,Blaze.Of.Perdition,Byfrost,Hypomanie,Nasheim,Nazxul,Regarde.Les.Hommes.Tomber,Wormlust,Acherontas,Celeste,Christ.Agony,Crimson.Moonlight,M.tiilation,Sombres.For.ts,Voices,Aeveron,Aluk.Todolo,Grey.Heaven.Fall,Kriegsmaschine,M.rk.Gryning,Sarke,Seth,X.rst..ir.L.fsins,Doom,Krieg,Myrkskog,Necros.Christos,Abyssic.Hate,Alkerdeel,Ash.Borer,Besatt,Cirith.Gorgor,Den.Saakaldte,Fort..,Krypt,Revenge,Seeds.Of.Iblis,Darkened.Nocturn.Slaughtercult,Funeral.Mourning,Nazgul,Skitliv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prog,Opeth,Dream.Theater,Amorphis,Tool,Symphony.X,Porcupine.Tree,Meshuggah,Ayreon,Devin.Townsend,Riverside,Pain.Of.Salvation,Cynic,In.Mourning,Evergrey,Leprous,Animals.As.Leaders,Yngwie.Malmsteen,Haken,Persefone,Myrath,Green.Carnation,Circus.Maximus,Barren.Earth,Voivod,Fates.Warning,Pagan.s.Mind,Seventh.Wonder,Control.Denied,Threshold,Jeff.Loomis,Adagio,Edenbridge,Into.Eternity,Soen,Star.One,Liquid.Tension.Experiment,Blotted.Science,Shadow.Gallery,Vanden.Plas,In.The.Silence,ReVamp,Communic,Nightingale,Anubis.Gate,Karnivool,OSI,Vulture.Industries,James.LaBrie,Redemption,Scale.The.Summit,Disillusion,Andromeda,Anciients,Blindead,Stam1na,DGM,Fair.To.Midland,Marty.Friedman,Caligula.s.Horse,Raintime,Amaseffer,Conception,Diablo,Psychotic.Waltz,Beyond.Twilight,Cormorant,Jason.Becker,Wolverine,Amiensus,Cacophony,Hacride,Exivious,Alchemist,Conquering.Dystopia,Guilt.Machine,ICS.Vortex,Sieges.Even,Vanishing.Point,Planet.X,Winds,Deadsoul.Tribe,Indukti,Triosphere,Cloudkicker,Jon.Oliva.s.Pain,Aghora,Dark.Suns,Rishloo,Zero.Hour,Jolly,Klone,Heljareyga,Suspyre,Taranis,Dissona,Spastic.Ink,Intervals,Pomegranate.Tiger,Arena,Chimp.Spanner,Hammers.Of.Misfortune,Kahtmayan,Subsignal,Subterranean.Masquerade,Ambeon,Shaolin.Death.Squad,Sunburst,Michael.Angelo.Batio,Native.Construct,Hammerforce,King.s.X,Biomechanical,K.lter,Chaos.Divine,The.Haarp.Machine,Timo.Tolkki,Derek.Sherinian,The.Black.Mages,Christian.Muenzner,Alarum,Headspace,Prototype,Spheric.Universe.Experience,Arch.Matheos,Demians,Dreamscape,Signum.Regis,Eyefear,Crystalic,Grayceon,Pressure.Points,Agora,Sun.Caged,Teramaze,Appearance.Of.Nothing,Cloudscape,Evil.Masquerade,Ghost.Ship.Octavius,Mind.s.Eye,Son.Of.Aurelius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Metal melódico,Amon.Amarth,Insomnium,Be.lakor,Kalmah,Carcass,Swallow.The.Sun,Hypocrisy,At.The.Gates,Dissection,Omnium.Gatherum,Scar.Symmetry,Eternal.Tears.Of.Sorrow,Sentenced,DevilDriver,Before.The.Dawn,Novembers.Doom,Dethklok,The.Black.Dahlia.Murder,Suidakra,Heaven.Shall.Burn,Sylosis,The.Haunted,Unleashed,Aborted,The.Agonist,Arsis,Daylight.Dies,Allegaeon,Slumber,Shadows.Fall,Rapture,Noumena,Black.Sun.Aeon,Wolfheart,Solution..45,Wolfchant,Nightrage,Dark.Lunacy,Darkest.Hour,Hollenthon,Blood.Stain.Child,Deadlock,Dominia,Threat.Signal,The.Absence,Zonaria,Fractal.Gates,Arkan,Thulcandra,Imperanon,Bloodshot.Dawn,Godgory,MaYaN,Babymetal,Battlecross,Dawn.Of.Tears,Susperia,Northland,Neaera,Nightfall,Words.Of.Farewell,Aeternam,Avatar,Soulfallen,The.Unguided,The.Duskfall,Tengger.Cavalry,Tracedawn,Raunchy,Shylmagoghnar,Enthrope,Starkill,Unanimated,Ablaze.In.Hatred,Aetherian,Dreamshade,Destinity,Gates.Of.Ishtar,Luna.Mortis,Detonation,X.ther.Realm,Krampus,Lunarsea,Inferi,Falchion,Nox.Aurea,Blind.Stare,System.Divide,Cadacross,Gormathon,Light.This.City,Wulfgar,Destrage,Sunless.Rise,Theory.In.Practice,Gloria.Morti,Decadence,Eucharist,Parasite.Inc.,The.Few.Against.Many,An.Abstract.Illusion,Gardenian,Depressed.Mode,Sons.Of.Aeon,Hoth,Naildown,Misanthrope,Orphanage,RoutaSielu,The.Arcane.Order,Autumnia,Chalice.Of.Doom,Fear.Of.Domination,Frequency.Of.Butterfly.Wings,Valtari,Ceremonial.Oath,Garden.Of.Shadows,Karlahan,Marionette,Dark.Flood,Inactive.Messiah,Okera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power metal,Blind.Guardian,Helloween,Sonata.Arctica,Gamma.Ray,HammerFall,Sabaton,Edguy,DragonForce,Alestorm,Powerwolf,Primal.Fear,Freedom.Call,Elvenking,Falconer,Amaranthe,Lost.Horizon,Heavenly,Iron.Savior,Van.Canto,Galneryus,Cain.s.Offering,Battlelore,Nocturnal.Rites,Tarot,Gloryhammer,Bal.Sagoth,Orden.Ogan,X.Japan,Vision.Divine,Kiuas,Celesty,Brainstorm,Dreamtale,Blackguard,Stormwarrior,Savage.Circus,Machinae.Supremacy,Helstar,Versailles,Mystic.Prophecy,Power.Quest,Iron.Mask,Andre.Matos,WarCry,Wizard,Symfonia,Angel.Dust,Wisdom,Secret.Sphere,Twilight.Force,Axenstar,Mob.Rules,Ter.sbetoni,Black.Majesty,Metalium,Kotipelto,ReinXeed,Timeless.Miracle,Morgana.Lefay,Borealis,Magic.Kingdom,Timo.Tolkki.s.Avalon,Excalion,Alm.ra,Divinefire,Domine,Seven.Kingdoms,Trick.Or.Treat,Altaria,White.Skull,InnerWish,Olympos.Mons,Dawn.Of.Destiny,Narnia,SpellBlast,Human.Fortress,Cryonic.Temple,Highland.Glory,Saurom,Crom,Insania,Paragon,Crystal.Eyes,Concerto.Moon,Galloglass,Zonata,Shadowside,Symphorce,Armory,Nostradameus,Serious.Black,Supreme.Majesty,Forgotten.Tales,Sunrise,Arion,Guardians.Of.Time,Hangar,Meliah.Rage,Scanner,Seraphim,Sex.Machineguns,Skylark,Crystallion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
