Death ,Slayer,Death..banda.,Sepultura,Therion,Cannibal.Corpse,Cradle.Of.Filth,Morbid.Angel,Bloodbath,Vader,Overkill,Orphaned.Land,Deicide,Obituary,Fear.Factory,Saturnus,Bolt.Thrower,Tiamat,Celtic.Frost,Kataklysm,Strapping.Young.Lad,Immolation,Entombed,Warbringer,Havok,Evile,Six.Feet.Under,Old.Man.s.Child,Triptykon,Gorguts,Dismember,Pestilence,Cavalera.Conspiracy,Vital.Remains,Tankard,Revocation,Artillery,Autopsy,Possessed,Sigh,Crematory,Malevolent.Creation,Asphyx,Job.For.A.Cowboy,Grave,Nuclear.Assault,Evoken,In.Vain,Absu,Charon,Vomitory,Onslaught,Legion.Of.The.Damned,Flotsam.And.Jetsam,Hate,God.Dethroned,Suicidal.Angels,Sadus,Heavenwood,Incantation,Gama.Bomb,Aeon,Ouroboros,Benediction,Blood.Red.Throne,Gwar,Sacred.Reich,Tribulation,Gorefest,Sinister,The.Crown,Violator,Necrophobic,Monstrosity,Razor,Hail.Of.Bullets,Vio.lence,Angelus.Apatrida,Lazarus.A.D.,Prong,Morbid.Saint,Terrorizer,Witchery,Darkane,Demolition.Hammer,Agent.Steel,Brujeria,Fields.Of.The.Nephilim,Bonded.By.Blood,Divine.Heresy,Nervecell,Exumer,Hirax,Abysmal.Dawn,Vallenfyre,Sarc.fago,Whiplash,Morgoth,Paradox,Exhorder,Hatesphere,Illdisposed,Dew.Scented,Jungle.Rot,Savage.Messiah,Massacre,The.Monolith.Deathcult,Swashbuckle,Cannabis.Corpse,Xentrix,Exciter,Lich.King,D..th,Holy.Moses,Rigor.Mortis,Severe.Torture,Debauchery,Kronos,Dragged.Into.Sunlight,Hexen,Torture.Killer,Acrassicauda,Dead.Congregation,Demonical,Arsames,Mortal.Sin,The.Berzerker,Cancer,Entrails,Noctem,Tourniquet,Lock.Up,Miseration,Sulphur.Aeon,Macabre,Entombed.A.D.,Impaled,Ataraxie,Deceased,Horrendous,Lost.Society,Master,Atrocity,Charred.Walls.Of.The.Damned,Demonic.Resurrection,Evocation,Fleshcrawl,Necrophagia,Trepalium,Inborn.Suffering,Mokoma,Assassin,Brutality,Demigod,Rudra,Dismal.Euphony,Striker,Demonoid,Grip.Inc.,Pungent.Stench,Torchbearer,Agruss,Broken.Hope,Crisix,Fueled.By.Fire,Mortification,Nader.Sadek,Protector,Korzus,Atrophy,Dawn.Of.Demise,Torture.Squad,Morgion,Slaughter,Coffins,Cryptic.Wintermoon,Ghoul,Amoral,Desultory,Panzerchrist,The.Chasm,Criminal,Extreme.Noise.Terror,Herm.tica,Merciless,Netherion,Trauma,Zimmers.Hole,Dies.Irae,Nervosa,Obliteration,Arakain,Bulldozer,Deathchain,Desolate.Shrine,Holy.Terror,Sacrifice,Death.Breath,Izegrim,Stone,Carnal.Forge,Cemetary,Diamond.Plate,Disincarnate,Grave.Miasma,Hatriot,Hunter,Living.Sacrifice,One.Man.Army.And.The.Undead.Quartet,Ade,Cripper,Defiance,Demonica,Helltrain,Mantic.Ritual,Massacra,Runemagick,Thanatos,The.Rotted,Yyrkoon,Black.Fast,Liege.Lord,Loudblast,Nirvana.2002,Repugnant,Chthe.ilist,Cruciamentum,Divinity,Gruesome,The.Wretched.End,Advent.Sorrow,Ancient.Ascendant,Centinex,Convulse,Hackneyed,Landmine.Marathon,Ripping.Corpse,Blood.Tsunami,Narjahanam,Usurper,Battlesoul,Deathhammer,George.Kollias,Infern.l.M.jesty,Mortad,Red.Harvest,Resurrection
Tech Death,Nile,Necrophagist,Decapitated,Obscura,Suffocation,Dying.Fetus,Atheist,The.Faceless,Cryptopsy,Krisiun,Quo.Vadis,Origin,Beyond.Creation,Gorod,Hate.Eternal,Benighted,Psycroptic,Spawn.Of.Possession,Ulcerate,Decrepit.Birth,Hour.Of.Penance,Deeds.Of.Flesh,Anata,Augury,Devourment,Skinless,Neuraxis,Nocturnus.AD,Beneath.The.Massacre,Martyr,Brain.Drill,Defeated.Sanity,Scarab,Avulsed,Lost.Soul,Cerebral.Bore,X.T.O.O.H..,Abominable.Putridity,Archspire,Disgorge,Hannes.Grossmann,Mithras,Pathology,Man.Must.Die,Wormed,Gorgasm,Katalepsy,Putrid.Pile,Vehemence,Odious.Mortem,Abnormality,Prostitute.Disfigurement,Rivers.Of.Nihil,ScoX,Beheaded,Vale.Of.Pnath,Scarve,Sceptic,Wretched,Ingested,Obtest,Visceral.Bleeding,Severed.Savior,Viraemia,First.Fragment,Illogicist,Annotations.Of.An.Autopsy,Carcariass,Flourishing,Insision,Malignancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternativo,In.Flames,Rammstein,System.Of.A.Down,Slipknot,Disturbed,Korn,Soulfly,Ghost.Brigade,Deftones,Rage.Against.The.Machine,Nine.Inch.Nails,Faith.No.More,Rob.Zombie,Marilyn.Manson,Godsmack,Mudvayne,Stone.Sour,Ministry,Anorexia.Nervosa,White.Zombie,Primus,Static.X,Serj.Tankian,Sybreed,In.This.Moment,Atreyu,Godflesh,Drowning.Pool,Otep,The.Kovenant,Oomph.,Killing.Joke,Mushroomhead,Dir.En.Grey,KMFDM,Mnemic,Turmion.K.til.t,Kittie,Sevendust,Coal.Chamber,Ill.Ni.o,Eisbrecher,Scars.On.Broadway,Lindemann,Skindred,Clawfinger,Maximum.The.Hormone,Dredg,Waltari,...And.Oceans,Chevelle,Life.Of.Agony,Spineshank,Megaherz,American.Head.Charge,Scar.The.Martyr,Emigrate,Therapy.,Illidiance,Raubtier,Device,Filter,Nero.Di.Marte,Profane.Omen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black metal Atmosférico,Agalloch,Summoning,Drudkh,Wolves.In.The.Throne.Room,S.lstafir,Blut.Aus.Nord,Uaral,A.Forest.Of.Stars,Caladan.Brood,Deafheaven,Fen,Woods.Of.Desolation,Saor,Aquilus,Dordeduh,Thurisaz,Abigail.Williams,Lantl.s,Wodensthrone,An.Autumn.For.Crippled.Children,Winterfylleth,Panopticon,Midnight.Odyssey,Lustre,The.Great.Old.Ones,Vallendusk,Lux.Occulta,Elysian.Blaze,Falls.Of.Rauros,Ancient.Wisdom,Downfall.Of.Nur,Progenie.Terrestre.Pura,Spectral.Lore,Menace.Ruine,Raventale,Forest.Silence,Mare.Cognitum,Skagos,Dr.psnatt,Arcana.Coelestia,Cold.Body.Radiation,Pillorian,Thronar,Chaos.Moon,Lychgate,Aes.Dana,Vordven,Sun.Devoured.Earth,Alda,Borgne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gothic,Nightwish,Paradise.Lost,Within.Temptation,Lacuna.Coil,Tristania,Type.O.Negative,Xandria,Theatre.Of.Tragedy,Graveworm,Lacrimosa,Virgin.Black,Lake.Of.Tears,The.Foreshadowing,Lacrimas.Profundere,The.Vision.Bleak,The.69.Eyes,Trail.Of.Tears,Darkseed,UnSun,Midnattsol,Theatres.Des.Vampires,Beseech,Dark.The.Suns,Flowing.Tears,Madder.Mortem,Elis,Warrel.Dane,Darzamat,Throes.Of.Dawn,Silentium,Dawn.Of.Solace,Klimt.1918,ShamRain,Autumn,Macbeth,The.Old.Dead.Tree,Imperia,A.Pale.Horse.Named.Death,Mandragora.Scream,Mortal.Love,Darkwell,On.Thorns.I.Lay,Artrosis,Weeping.Silence,Enslavement.Of.Beauty,SpiRitual,To.Cast.A.Shadow,Coronatus,Forever.Slave,Saviour.Machine,Sinamore,Steelheart,Catafalque,Octavia.Sperati,X.xx..X..x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metalcore,Trivium,Protest.The.Hero,Hatebreed,Parkway.Drive,The.Dillinger.Escape.Plan,Unearth,Converge,Sonic.Syndicate,Bring.Me.The.Horizon,Caliban,Demon.Hunter,God.Forbid,After.The.Burial,Bleeding.Through,Architects,Dark.Age,Asking.Alexandria,Hypno5e,Anterior,ETHS,Cancer.Bats,X36.Crazyfists,Walls.Of.Jericho,Sanctity,Mindplotter,Misery.Signals,Breakdown.Of.Sanity,Descending,For.Today,The.Browning,Ion.Dissonance,Psyopus,Enter.Shikari,I.Killed.The.Prom.Queen,Norma.Jean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doom,Katatonia,Anathema,My.Dying.Bride,The.Gathering,Novembre,Antimatter,October.Tide,Forest.Of.Shadows,Mourning.Beloveth,Wine.From.Tears,Bilocate,Officium.Triste,Remembrance,Hanging.Garden,Kontinuum,Disembowelment,Ophis,Before.The.Rain,Hooded.Menace,Acid.Witch,Shattered.Hope,Kimaera,Eye.Of.Solitude,Longing.For.Dawn,Kuolemanlaakso,Mourning.Lenore,The.Prophecy,Winter,De.Profundis,Frailty,Unholy,My.Shameful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sludge,Mastodon,Isis,Neurosis,Baroness,Cult.Of.Luna,The.Ocean,Atoma,Kylesa,Acid.Bath,Crowbar,Russian.Circles,Intronaut,Melvins,Jesu,Obscure.Sphinx,Rosetta,Eyehategod,Process.Of.Guilt,Subrosa,Year.Of.No.Light,Slugdge,Amenra,Mouth.Of.The.Architect,Sunset.In.The.12th.House,Burst,Superjoint.Ritual,Dirge,Minsk,Callisto,Nahemah,Kongh,Thou,Battle.Of.Mice,Bison.B.C.,Downfall.Of.Gaia,Sunpocrisy,Old.Man.Gloom,What.Mad.Universe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoner,Electric.Wizard,Kyuss,High.On.Fire,Soundgarden,Queens.Of.The.Stone.Age,The.Sword,Cathedral,Sleep,Corrosion.Of.Conformity,Hail.Spirit.Noir,Witchcraft,Red.Fang,Monster.Magnet,Orange.Goblin,Om,Earth,Yob,Boris,Ufomammut,Church.Of.Misery,Uncle.Acid...The.Deadbeats,Acid.King,Torche,Elder,Windhand,Planet.Of.Zeus,Sahg,Conan,Shrinebuilder,The.Flight.Of.Sleipnir,Karma.To.Burn,My.Sleeping.Karma,New.Keepers.Of.The.Water.Towers,The.Atlas.Moth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Progressive power,Angra,Savatage,Masterplan,Pyramaze,Wuthering.Heights,Crimson.Glory,While.Heaven.Wept,Theocracy,Labyrinth,Warmen,Shaman,Circle.II.Circle,Dark.Empire,Silent.Force,Aina,Manticora,Outworld,Tad.Morose,Viathyn,Elegy,Harmony,Ride.The.Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funeral doom,Shape.Of.Despair,Ahab,Estatic.Fear,Esoteric,Doom.VS,Skepticism,Funeral,Mournful.Congregation,Colosseum,Trouble,Blood.Ceremony,Pantheist,Galadriel,Tyranny,Funeralium,Thergothon,Bell.Witch,When.Nothing.Remains,Worship,X1000.Funerals,The.Howling.Void,Catacombs,Comatose.Vigil,Until.Death.Overtakes.Me,Wormphlegm,Profetus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Folk,Korpiklaani,Turisas,T.r,Empyrium,Heidevolk,Dalriada,Skyclad,Svartsot,Trollfest,Bucovina,Falloch,Silent.Stream.Of.Godless.Elegy,Lyriel,Skiltron,Folkearth,Otyg,Fferyllt,Kalevala,Folkstone,Svartby,Yggdrasil,FEJD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symphonic power,Kamelot,Rhapsody.Of.Fire,Avantasia,Dark.Moor,Dragonland,Luca.Turilli.s.Rhapsody,Luca.Turilli,Amberian.Dawn,Serenity,Royal.Hunt,Ancient.Bards,Fairyland,Pathfinder,Lunatica,Derdian,Keldian,Magica,Thy.Majestie,Leverage,Aquaria,Pythia,HolyHell,Symphonity,Darksun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symphonic,Epica,Haggard,Diablo.Swing.Orchestra,Delain,Tarja,Visions.Of.Atlantis,Neurotech,Angtoria,Northern.Kings,Portal,Diabulus.In.Musica,Winds.Of.Plague,Cadaveria,Katra,Aesma.Daeva,Beyond.The.Black,Fjoergyn,Whyzdom,Lingua.Mortis.Orchestra,Stravaganzza,Dreams.Of.Sanity,Leah,Phantasma..NED.,The.Murder.Of.My.Sweet,Beto.V.zquez.Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melodic black,Borknagar,Melechesh,Woods.Of.Ypres,Naglfar,Chthonic,Varg,Ancient,Dornenreich,Xanthochroid,Agrypnie,Siebenb.rgen,Hecate.Enthroned,Arafel,Arthemesia,Iskald,Daemonarch,Thy.Serpent,Istapp,Netherbird,Mystic.Circle,Semargl,Sworn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groove/crossover trash,Lamb.Of.God,Napalm.Death,Chimaira,Municipal.Waste,Kvelertak,Toxic.Holocaust,Suicidal.Tendencies,D.R.I.,Stormtroopers.Of.Death,Ektomorf,Dagoba,Nails,Acid.Drinkers,Black.Tusk,Carnivore,Pro.Pain,The.Exploited,Nailbomb,Black.Flag,Today.Is.The.Day,Cryptic.Slaughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avantgarde/Progressive black,Arcturus,Ihsahn,Solefald,Shining..NOR.,Mr..Bungle,Terra.Tenebrosa,Aenaon,Mirrorthrone,Akphaezya,Ephel.Duath,Fant.mas,Sleepytime.Gorilla.Museum,Transcending.Bizarre.,Virus,Peccatum,Estradasphere,Pan.thy.monium,Age.Of.Silence,Amogh.Symphony,Pryapisme,Hands.Of.Despair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viking/Black,Enslaved,Bathory,Windir,Thyrfing,Hellhammer,King.Of.Asgard,Ancient.Rites,Demonaz,Menhir,Dark.Forest,Nomans.Land,Helheim,Thrudvangar,Galar,Obscurity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depressive black,Shining,Xasthur,Gris,Lifelover,Thy.Light,Austere,Nocturnal.Depression,Pens.es.Nocturnes,Nyktalgia,Ghost.Bath,Heretoir,Germ,Anti,Happy.Days,Psychonaut.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symphonic gothic,Sirenia,After.Forever,The.Sins.Of.Thy.Beloved,Penumbra,Krypteria,Nemesea,Elysion,Mortemia,Yearning,Blackthorn,Moi.Dix.Mois,Atargatis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dark.Tranquillity,Arch.Enemy,Eluveitie,Soilwork,Mors.Principium.Est,Disarmonia.Mundi,MyGrain,Dimension.Zero,Universum,Degradead,Deals.Death,Faithful.Darkness,Callenish.Circle,Amaran,Infinite.Tales,The.Blinded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
